Model,RMSE,Precision@5,Recall@5,Training Time
NMF (Baseline),0.06523316303046538,0.6669323843416372,0.7838498410556981,6.572726011276245
NMF2 (Optimized),0.029088355172966353,0.7055373665480427,0.8550636928425036,11.243567705154419
