UNBALANCED MODEL METRICS

BASELINE MODEL
RMSE,0.4476
MAE,0.3566
Precision,0.7851
Recall,0.6994
F1 Score,0.7398
NDCG@10,0.2037

TUNER RESULTS
Best Hyperparameters
Embedding Dim,32
MLP Units,64
Learning Rate,0.007175267364206069

OPTIMIZED MODEL
RMSE,0.3194
MAE,0.2353
Precision,0.8622
Recall,0.8949
F1 Score,0.8783
NDCG@10,1.0
