Model Name,RMSE,Precision,Recall,F1-score
Surprise1,0.45004696521543863,0.6837689465870248,0.7539498229717897,0.7171464783632084
Surprise2,0.44917199149039755,0.16798696006522887,0.7376306075789751,0.2535876712366677
Surprise3,0.4499451051934909,0.16784644438658972,0.7393648946928718,0.25351073749320563
Surprise4,0.5628650626996439,0.6833881968767282,0.7663214889901511,0.623555288191498
