Model,RMSE,Precision@5,Recall@5,F1-score,Training Time
NMF (Baseline),0.08196749369040747,0.4061745040310376,0.6838532380642529,0.5096452852967568,59.89757013320923
NMF2 (Optimized),0.04571107395062396,0.5196764163662878,0.9280019705800537,0.666253972982427,23.723596334457397
