Model,RMSE,Precision@5,Recall@5,F1-score,Training Time,n_components,init,solver,beta_loss,max_iter
NMF_23,0.11220726107381472,0.31454200258646786,0.5726929179542166,0.4060615133827949,21.19292140007019,20,nndsvda,mu,kullback-leibler,200
NMF_24,0.11220726107381472,0.31454200258646786,0.5726929179542166,0.4060615133827949,21.249943733215332,20,nndsvda,mu,kullback-leibler,300
NMF_25,0.08196749369040747,0.4061745040310376,0.6838532380642529,0.5096452852967568,65.3599500656128,50,random,cd,frobenius,200
NMF_26,0.08196749369040747,0.4061745040310376,0.6838532380642529,0.5096452852967568,63.8735990524292,50,random,cd,frobenius,300
NMF_29,0.08212308511720685,0.4075667941556834,0.6862724515503146,0.5114131058905187,14.33915400505066,50,random,mu,frobenius,200
NMF_30,0.08212308511720685,0.4075667941556834,0.6862724515503146,0.5114131058905187,13.94930911064148,50,random,mu,frobenius,300
NMF_31,0.09549463947120294,0.43759183336543495,0.8337094421418435,0.5739386096900594,16.875551462173462,50,random,mu,kullback-leibler,200
NMF_32,0.09549463947120294,0.43759183336543495,0.8337094421418435,0.5739386096900594,16.754708290100098,50,random,mu,kullback-leibler,300
NMF_33,0.08189007989346944,0.4018105274743417,0.6717016771958032,0.5028295049563524,77.00904393196106,50,nndsvd,cd,frobenius,200
NMF_34,0.08189007989346944,0.4018105274743417,0.6717016771958032,0.5028295049563524,76.49935841560364,50,nndsvd,cd,frobenius,300
NMF_37,0.08242907937713088,0.40517293564097634,0.6803893380993588,0.5078941156396138,6.9753148555755615,50,nndsvd,mu,frobenius,200
NMF_38,0.08242907937713088,0.40517293564097634,0.6803893380993588,0.5078941156396138,6.886439561843872,50,nndsvd,mu,frobenius,300
NMF_39,0.08840745937827296,0.4387419860770988,0.8057355662971717,0.5681259930092505,33.313376665115356,50,nndsvd,mu,kullback-leibler,200
NMF_40,0.08840745937827296,0.4387419860770988,0.8057355662971717,0.5681259930092505,33.92174530029297,50,nndsvd,mu,kullback-leibler,300
NMF_41,0.08171744420010134,0.40629557273752853,0.6836520646890671,0.5096846814253404,20.387147903442383,50,nndsvda,cd,frobenius,200
NMF_42,0.08171744420010134,0.40629557273752853,0.6836520646890671,0.5096846814253404,19.828994750976562,50,nndsvda,cd,frobenius,300
NMF_45,0.08204099845422738,0.40987810582505585,0.6909674152576575,0.514536163210431,6.3440492153167725,50,nndsvda,mu,frobenius,200
NMF_46,0.08204099845422738,0.40987810582505585,0.6909674152576575,0.514536163210431,6.385325908660889,50,nndsvda,mu,frobenius,300
NMF_47,0.08687908195294523,0.4431444844949509,0.8090758418633113,0.5726428317970896,18.351200580596924,50,nndsvda,mu,kullback-leibler,200
NMF_48,0.08687908195294523,0.4431444844949509,0.8090758418633113,0.5726428317970896,18.097708225250244,50,nndsvda,mu,kullback-leibler,300
NMF_49,0.04081211979184958,0.5069366865696283,0.8910551308176788,0.6462248633354298,246.07426404953003,100,random,cd,frobenius,200
NMF_50,0.04081211979184958,0.5069366865696283,0.8910551308176788,0.6462248633354298,247.04579663276672,100,random,cd,frobenius,300
NMF_53,0.04312616670689455,0.5045593374239882,0.8879325998527847,0.6434718539699991,34.38165998458862,100,random,mu,frobenius,200
NMF_54,0.04312616670689455,0.5045593374239882,0.8879325998527847,0.6434718539699991,35.734349966049194,100,random,mu,frobenius,300
NMF_55,0.05883482747371302,0.5145420025864679,0.925967945485079,0.6615010214106564,19.928653478622437,100,random,mu,kullback-leibler,200
NMF_56,0.05883482747371302,0.5145420025864679,0.925967945485079,0.6615010214106564,19.80729103088379,100,random,mu,kullback-leibler,300
