Model,RMSE,Precision@5,Recall@5,F1-score,Training Time
NMF (Baseline),0.06523316303046538,0.6669323843416372,0.7838498410556981,0.720679967412634,6.480746269226074
NMF2 (Optimized),0.029088355172966353,0.7055373665480427,0.8550636928425036,0.7731372248517376,11.870174884796143
