Model,RMSE,Precision@5,Recall@5,F1-score,Training Time,n_components,init,solver,beta_loss,max_iter
NMF_49,0.02457186984972407,0.7046832740213522,0.8509503802950273,0.7709405082002163,62.35294795036316,100,random,cd,frobenius,200
NMF_50,0.024430239632642396,0.7044270462633453,0.849843788191994,0.7703328612109271,68.65582299232483,100,random,cd,frobenius,300
NMF_53,0.031591165588685154,0.7012669039145907,0.8447546507576608,0.7663521594689041,8.044227600097656,100,random,mu,frobenius,200
NMF_54,0.029502994006652617,0.7024056939501779,0.8471045914456798,0.7679988884369044,12.507728576660156,100,random,mu,frobenius,300
NMF_55,0.04818681400030448,0.6973950177935943,0.8483696411220237,0.7655094940272361,12.6261625289917,100,random,mu,kullback-leibler,200
NMF_56,0.04818681400030448,0.6973950177935943,0.8483696411220237,0.7655094940272361,13.969245910644531,100,random,mu,kullback-leibler,300
NMF_57,0.02260851100942382,0.7049395017793595,0.8503194702797757,0.7708346899149375,17.422646522521973,100,nndsvd,cd,frobenius,200
NMF_58,0.02260851100942382,0.7049395017793595,0.8503194702797757,0.7708346899149375,17.2394118309021,100,nndsvd,cd,frobenius,300
NMF_61,0.026950170415734147,0.7043131672597863,0.8491891533843342,0.7699957628319369,5.045273542404175,100,nndsvd,mu,frobenius,200
NMF_62,0.026950170415734147,0.7043131672597863,0.8491891533843342,0.7699957628319369,5.059762716293335,100,nndsvd,mu,frobenius,300
NMF_63,0.04118825814157535,0.7014092526690391,0.8515801814942234,0.7692341049460539,9.126109600067139,100,nndsvd,mu,kullback-leibler,200
NMF_64,0.04118825814157535,0.7014092526690391,0.8515801814942234,0.7692341049460539,8.898715257644653,100,nndsvd,mu,kullback-leibler,300
NMF_65,0.02195150783073756,0.705423487544484,0.8507621071209891,0.7713059094406968,7.10919189453125,100,nndsvda,cd,frobenius,200
NMF_66,0.02195150783073756,0.705423487544484,0.8507621071209891,0.7713059094406968,6.971864461898804,100,nndsvda,cd,frobenius,300
NMF_69,0.022557822907945422,0.7053096085409253,0.8506553455551528,0.771193961917092,4.3379082679748535,100,nndsvda,mu,frobenius,200
NMF_70,0.022557822907945422,0.7053096085409253,0.8506553455551528,0.771193961917092,4.147366046905518,100,nndsvda,mu,frobenius,300
NMF_71,0.029088355172966353,0.7055373665480427,0.8550636928425036,0.7731372248517376,11.557015657424927,100,nndsvda,mu,kullback-leibler,200
NMF_72,0.029088355172966353,0.7055373665480427,0.8550636928425036,0.7731372248517376,11.042608737945557,100,nndsvda,mu,kullback-leibler,300
